"","x","y","ppt","temp"
"53",88.0208333333333,27.1875,141.225006103516,9.69583320617676
"54",88.0625,27.1875,172.466659545898,12.6999998092651
"55",88.1041666666667,27.1875,166.550003051758,12.5916662216187
"65",88.5208333333333,27.1875,351.850006103516,23.3833332061768
"66",88.5625,27.1875,364.183319091797,22.8333339691162
"67",88.6041666666667,27.1875,360.016662597656,22.1791667938232
"68",88.6458333333333,27.1875,349.383331298828,21.2583332061768
"69",88.6875,27.1875,289.625,18.4458332061768
"149",87.9791666666667,27.1458333333333,160.316665649414,11.7083330154419
"150",88.0208333333333,27.1458333333333,142.441665649414,9.89583301544189
"151",88.0625,27.1458333333333,171.29167175293,13.1625003814697
"152",88.1041666666667,27.1458333333333,185.391662597656,15.4875001907349
"154",88.1875,27.1458333333333,211.933334350586,21.2416667938232
"155",88.2291666666667,27.1458333333333,215.891662597656,21.9125003814697
"156",88.2708333333333,27.1458333333333,245.808334350586,23.4874992370605
"157",88.3125,27.1458333333333,248.191665649414,23.216667175293
"161",88.4791666666667,27.1458333333333,298.850006103516,22.6458339691162
"162",88.5208333333333,27.1458333333333,353.283325195312,23.5083332061768
"163",88.5625,27.1458333333333,296.475006103516,19.8583335876465
"164",88.6041666666667,27.1458333333333,270.575012207031,18.533332824707
"165",88.6458333333333,27.1458333333333,327.383331298828,20.216667175293
"166",88.6875,27.1458333333333,277.600006103516,18.1791667938232
"167",88.7291666666667,27.1458333333333,189.408340454102,13.7333335876465
"168",88.7708333333333,27.1458333333333,204.5,14.5291662216187
"169",88.8125,27.1458333333333,258.5,17.2916660308838
"246",87.9791666666667,27.1041666666667,147.533340454102,10.5958337783813
"247",88.0208333333333,27.1041666666667,145.941665649414,10.3374996185303
"248",88.0625,27.1041666666667,173.199996948242,13.4375
"249",88.1041666666667,27.1041666666667,183.716659545898,16.8250007629395
"250",88.1458333333333,27.1041666666667,188.891662597656,19.1124992370605
"251",88.1875,27.1041666666667,194.175003051758,19.6625003814697
"252",88.2291666666667,27.1041666666667,230.058334350586,23.1749992370605
"253",88.2708333333333,27.1041666666667,240.600006103516,23.3041667938232
"254",88.3125,27.1041666666667,267.5,24.091667175293
"255",88.3541666666667,27.1041666666667,284.241668701172,24.1833324432373
"256",88.3958333333333,27.1041666666667,276.458343505859,23.2583332061768
"257",88.4375,27.1041666666667,287.708343505859,23.1000003814697
"258",88.4791666666667,27.1041666666667,315.833343505859,23.2708339691162
"259",88.5208333333333,27.1041666666667,278.608337402344,20.5249996185303
"260",88.5625,27.1041666666667,262.291656494141,18.7958335876465
"261",88.6041666666667,27.1041666666667,259.891662597656,17.6000003814697
"262",88.6458333333333,27.1041666666667,247.158340454102,16.341667175293
"263",88.6875,27.1041666666667,247.058334350586,16.7000007629395
"264",88.7291666666667,27.1041666666667,191.633331298828,13.5749998092651
"265",88.7708333333333,27.1041666666667,204.966659545898,14.3833332061768
"266",88.8125,27.1041666666667,278.100006103516,17.7083339691162
"267",88.8541666666667,27.1041666666667,358.141662597656,20.2875003814697
"344",88.0208333333333,27.0625,167.883331298828,12.9750003814697
"345",88.0625,27.0625,178.324996948242,14.6999998092651
"346",88.1041666666667,27.0625,180.191665649414,14.9499998092651
"347",88.1458333333333,27.0625,186.04167175293,17.0083332061768
"348",88.1875,27.0625,193.050003051758,20.2625007629395
"349",88.2291666666667,27.0625,200.008331298828,20.2083339691162
"350",88.2708333333333,27.0625,202.866668701172,17.8999996185303
"351",88.3125,27.0625,225.491668701172,21.1124992370605
"352",88.3541666666667,27.0625,224.308334350586,19.345832824707
"353",88.3958333333333,27.0625,255.649993896484,21.8125
"354",88.4375,27.0625,290.991668701172,23.7000007629395
"355",88.4791666666667,27.0625,272.608337402344,22.2541675567627
"356",88.5208333333333,27.0625,303.883331298828,22.4125003814697
"357",88.5625,27.0625,282.158325195312,20.3250007629395
"358",88.6041666666667,27.0625,253.966659545898,17.154167175293
"359",88.6458333333333,27.0625,257.25,16.9249992370605
"360",88.6875,27.0625,257.475006103516,16.7666664123535
"361",88.7291666666667,27.0625,251.391662597656,16.4166660308838
"362",88.7708333333333,27.0625,258.316680908203,16.6749992370605
"363",88.8125,27.0625,267.674987792969,16.9541664123535
"364",88.8541666666667,27.0625,354.808319091797,20.3166675567627
"365",88.8958333333333,27.0625,401.741668701172,22.6291675567627
"441",88.0208333333333,27.0208333333333,173.433334350586,14.6750001907349
"442",88.0625,27.0208333333333,167.566665649414,13.4291667938232
"443",88.1041666666667,27.0208333333333,176.45832824707,14.5083332061768
"444",88.1458333333333,27.0208333333333,183.324996948242,17.6416664123535
"445",88.1875,27.0208333333333,188.04167175293,16.6375007629395
"446",88.2291666666667,27.0208333333333,191.933334350586,16.5625
"447",88.2708333333333,27.0208333333333,195.808334350586,16.0791664123535
"448",88.3125,27.0208333333333,206.258331298828,16.9166660308838
"449",88.3541666666667,27.0208333333333,224.675003051758,19.7625007629395
"450",88.3958333333333,27.0208333333333,243.566665649414,22.2958335876465
"451",88.4375,27.0208333333333,283.883331298828,24.0458335876465
"452",88.4791666666667,27.0208333333333,293.466674804688,23.4458332061768
"453",88.5208333333333,27.0208333333333,285.475006103516,21.8791675567627
"454",88.5625,27.0208333333333,257.399993896484,19.2374992370605
"455",88.6041666666667,27.0208333333333,290.049987792969,20.5666675567627
"456",88.6458333333333,27.0208333333333,277.741668701172,19.3125
"457",88.6875,27.0208333333333,341.299987792969,21.6666660308838
"458",88.7291666666667,27.0208333333333,313.508331298828,20.1749992370605
"459",88.7708333333333,27.0208333333333,362.966674804688,21.470832824707
